Name,Price
FanIce Ice Cream Strawberry 120 ml,₦190
Blue Bunny Chocolate 1.4 L,"₦8,520"
Blue Bunny Ice Cream Banana Split 473 ml,"₦3,870"
Supreme Ice Cream Vanilla Scoop 220 ml,₦315
Supreme Ice Cream Vanilla Scoop 120 ml,₦195
Supreme Ice Cream Vanilla & Strawberry 500 ml,₦590
Supreme Ice Cream Vanilla & Strawberry 4 L,"₦3,000"
Supreme Ice Cream Vanilla & Chocolate 500 ml,₦590
Supreme Ice Cream Vanilla & Chocolate 4 L,"₦3,000"
Supreme Ice Cream Strawberry Scoop 220 ml,₦315
Supreme Ice Cream Strawberry Scoop 120 ml,₦195
FanIce Ice Cream Vanilla Strawberry 900 g,₦895
FanIce Ice Cream Vanilla Strawberry 450 ml,₦560
Dairy Milk Caramello Ice Cream 480 ml,"₦4,295"
Dairy Maid Country Fresh Vanilla 5 L,"₦7,930"
Dairy Maid Country Fresh Neapolitan 5 L,"₦7,930"
Blue Bunny Vanilla Pint Cup 473 ml,"₦3,870"
Blue Bunny Double Strawberry 1.45 L,"₦8,520"
Blue Bunny Cookies & Cream 1.45 L,"₦8,520"
Blue Bunny Banana Split 1.4 L,"₦8,520"
Blue Bunny Home Made Vanilla 1.45 L,"₦8,520"
Supreme Ice Cream Vanilla Strawberry Scoop 2 L,"₦1,665"
Supreme Ice Cream Vanilla & Chocolate Scoop 2 L,"₦1,665"
Dairy Maid Country Fresh Vanilla 1.8 L,"₦3,885"
Dairy Maid Country Fresh Neapolitan 1.8 L,"₦3,885"
Blue Bunny Super Fudge Brownie 1.45 L,"₦8,520"
Blue Bunny Chunky Chocolate Chip 1.45 L,"₦8,520"
Goldenburgh Chicken Samosa 300 g,₦955
Goldenburgh Beef Samosa 300 g,₦955
Dairy Maid Country Fresh Vanilla Lite 1.8 L,"₦3,885"
Ella's Kitchen Strawberries Plus Apples 120 g,"₦2,190"
Ella's Kitchen Greek Yogurt Mango 90 g,"₦1,865"
Ella's Kitchen Cottage Pie 130 g,"₦2,610"
Ella's Kitchen Apples Plus Bananas 120 g,"₦2,190"
Babease Lentil & Vegetable Bake 130 g,"₦2,520"
Heinz Pear & Apple Custard 100 g x4,"₦3,735"
Heinz Fruit Medley Custard 100 g x4,"₦3,735"
Heinz Cereal Creamy Oat Porridge 240 g,"₦4,530"
Tilda Kids Vegetable Paella 125 g,"₦2,120"
Ella's Kitchen First Tastes Peach 70 g,"₦1,675"
Tesco Spaghetti Bolognese Baby Tray 190 g,"₦2,380"
Tesco Pea Parsnip Pear Pouch 100 g,"₦1,675"
Piccolo Organic Pear Apple & Spring Greens 100 g,"₦2,100"
Hipp Organic Classic Spaghetti Bolognese 230 g,"₦3,315"
Heinz Sweet Potato & Beef Hotpot 230 g,"₦2,940"
Heinz Sweet & Sour Chicken Pouch 180 g,"₦2,940"
Heinz Sweet & Sour Chicken & Rice 230 g,"₦2,940"
Heinz Fruit Pouch Peach Mango & Banana 100 g,"₦2,005"
Heinz Fruit Pouch Apple Pear Banana 100 g,"₦2,005"
Ella's Kitchen Vegetable Bake With Lentils 130 g,"₦2,610"
Ella's Kitchen Tomato-Y Pasta 130 g,"₦2,610"
Ella's Kitchen Fish Pie With Parsley 130 g,"₦2,610"
Ella's Kitchen Chicken Casserole With Rice 190 g,"₦3,360"
Babease Butternut Squash Carrot & Broccoli 100 g,"₦2,100"
Kiddylicious Beef Hotpot With Root Vegetable 200 g,"₦3,315"
Tilda Kids Sunshine Vegetable Rice 125 g,"₦2,120"
Heinz Mum's Own Spaghetti Bolognese 7 Months+ 200 g,"₦2,240"
Tesco Courgette Aubergine & Red Pepper Pouch 130 g,"₦1,955"
Tesco Carrot Sweet Potato Swede Pouch 100 g,"₦1,675"
Piccolo Organic Squash Macaroni & Cheese Meal 130 g,"₦2,705"
Ella's Kitchen Spaghetti Bolognese Stage 2 130 g,"₦2,610"
Ella's Kitchen The Yellow One 6 Months+ 450 g x5,"₦5,980"
Ella's Kitchen Thai Curry Stage 3 190 g,"₦3,360"
Ella's Kitchen Stage 3 Spaghetti Bolognese 190 g,"₦3,360"
Ella's Kitchen Organic Tomato Pasta With Vegetables 190 g,"₦3,360"
Ella's Kitchen Mild Chilli Con Carne 130 g,"₦2,610"
Ella's Kitchen Mangoes Pears Papayas Stage 1 120 g,"₦2,190"
Ella's Kitchen Chicken & Sweetcorn Mash With Herbs 130 g,"₦2,610"
Ella's Kitchen Cheery Chicken Roast Dinner 130 g,"₦2,610"
Ella's Kitchen Bangers & Mash Stage 2 130 g,"₦2,610"
Cow & Gate Spaghetti Bolognese 10 Months+ 250 g,"₦2,565"
Cow & Gate Spaghetti Bolognese 7 Months+ 200 g,"₦2,190"
Babease Sweet Potato Pear & Coconut Water 100 g,"₦2,100"
Cow & Gate Apple Crumble Jar 7 Months+ 200 g,"₦2,190"
Heinz First Steps Cheesy Vegetable With Pasta 200 g,"₦4,345"
"Cow & Gate Fruit Cup Apple, Blackcurrant & Banana 100 g","₦2,425"
Tilda Kids Vegetable & Whole Grain Rice 125 g,"₦2,120"
Hipp Organic Scrumptious Lasagne 1-3 Years 230 g,"₦3,315"
Heinz Savoury Pouch Sweet Potato & Beef Casserole 130 g,"₦2,330"
Ella's Kitchen Sweet Potato Pumpkin Apple & Blueberries 120 g,"₦2,190"
Ella's Kitchen Chickpea & Sweet Potato 6 Months 120 g,"₦2,145"
Cow & Gate Succulent Pork Casserole 7 Months+ 200 g,"₦2,190"
Cow & Gate Stage 3 Vegetable & Turkey Risotto 250 g,"₦2,565"
Cow & Gate Stage 2 Pea & Turkey Pie 200 g,"₦2,190"
Cow & Gate Cheesy Broccoli Bake 10 Months+ 250 g,"₦2,565"
Heinz Mum's Own Cheesy Pasta Stars 7 Months+ 200 g,"₦2,240"
Piccolo Organic Sweet Potato & Beef Ragu Stage 2 130 g,"₦2,705"
Ella's Kitchen Peaches Pears Plus Baby Rice Stage 1 120 g,"₦2,190"
Cow & Gate Creamy Cauliflower Cheese Jar 7 Months+ 200 g,"₦2,190"
Heinz First Steps Multi-Grain Cauliflower Broccoli Cheese 200 g,"₦4,345"
Heinz First Steps Multi-Grain Carrot Sweetcorn Cheese 200 g,"₦4,345"
Heinz Mum's Own Very Mild Mango Chicken Curry 7 Months+ 200 g,"₦2,240"
Cow & Gate Plum & Apple Fruit Pot 4 Months+ 100 g x4,"₦3,830"
Cow & Gate Fruit Cocktail Fruit Pot 4 Months+ 100 g x4,"₦3,830"
Cow & Gate Apple & Pear Fruit Pot 4 Months+ 100 g x4,"₦3,830"
Cow & Gate Apple & Banana Fruit Pot 4 Months+ 100 g x4,"₦3,830"
Cow & Gate Apple Apricot & Strawberry Fruit Pot 4 Months+ 100 g x4,"₦3,830"
Cerelac Wheat & Milk Cereal 6 Months+ 400 g,"₦6,030"
Heinz Apple Biscotti 60 g,"₦1,535"
Organix Animal Biscuits 100 g,"₦2,470"
Kiddylicious Wafers Blueberry 40 g,"₦2,755"
Kiddylicious Wafers Banana 40 g,"₦2,755"
Kiddylicious Veggie Straws 12 g,"₦1,265"
Kiddylicious Coconut Rolls 56 g,"₦3,015"
Heinz Chocolate Biscotti 60 g,"₦1,535"
Heinz Banana Biscotti 60 g,"₦1,535"
Organix Strawberry Rice Cake 50 g,"₦1,955"
Organix Melty Sweetcorn Rings 20 g,"₦1,255"
Organix Melty Carrot Puffs 20 g,"₦1,255"
Organix Banana Rice Cake 50 g,"₦1,955"
Organix Apple & Strawberry Gummies 12 g,"₦1,170"
Kiddylicious Veggie Straws 12 g x4,"₦2,975"
Kiddylicious Strawberry Wafer 4 g x10,"₦2,755"
Kiddylicious Strawberry Bakes 22 g x6,"₦3,275"
Kiddylicious Smoothie Melts Mango 6 g,"₦1,145"
Kiddylicious Raspberry Crispie Tiddlers 12 g,"₦1,170"
Heinz Biscotti Mango & Apricot 60 g,"₦1,535"
Farley's Rusks Original 150 g x9,"₦2,240"
Kiddylicious Banana Soft Biscotti 20 g x6,"₦3,220"
Tesco Pear & Berries Rice Cakes 40 g,"₦1,535"
Organix Mini Oaty Bites 10 g x11,"₦2,985"
Organix Mini Gingerbread Men 25 g x5,"₦3,340"
Organix Mini Cheese Cracker 20 g x4,"₦2,845"
Organix Cheese & Herb Puffs 15 g x4,"₦2,380"
Organix Apple Rice Cakes 28 g x4,"₦3,465"
Kiddylicious Apple Soft Biscotti 20 g x6,"₦3,220"
Bear Fruit Paws Dino 20 g x5,"₦3,315"
Bear Fruit Paws Arctic 20 g x5,"₦3,315"
Farley's Rusks Original 4 Months+ 300 g x18,"₦3,400"
Organix Goodies Raspberry & Apple Bars 30 g x12,"₦6,495"
Organix Rice Cakes Apple 7 Months+ 50 g,"₦1,955"
Organix Crunchy Slices Tomato 7 Months+ 20 g,"₦1,255"
Organix Gingerbread Men 12 Months+ 135 g x15,"₦3,105"
Ella's Kitchen Tomato & Basil Melty Sticks 17 g,"₦1,615"
Ella's Kitchen Carrot & Lentil Sticks 15 g x4,"₦2,755"
Organix Rice Cakes Raspberry & Blueberry 7 Months+ 50 g,"₦1,955"
Organix Strawberry Cereal Bar 12 Months+ 30 g x6,"₦3,780"
Ella's Kitchen Sweetcorn Plus Carrot Melty Sticks 17 g,"₦1,615"
Ella's Kitchen Cheese Plus Apple Melty Sticks 16 g,"₦1,610"
Ella's Kitchen Cheese & Leek Crunchy Wheels 15 g x4,"₦2,755"
Organix Goodies Carrot Cake Bar 12 Months+ 30 g x6,"₦3,780"
Organix Blackcurrant Fruit & Cereal Bar 12 Months+ 30 g x6,"₦3,780"
Ella's Kitchen Carrot Plus Sweet Potato Rice Cakes 40 g,"₦1,725"
Organix Apple & Raspberry Fruit & Cereal Bar 12 Months+ 30 g x6,"₦3,780"
Organix Apple & Orange Fruit & Cereal Bar 12 Months+ 30 g x6,"₦3,780"
Hipp Organic Follow-On Milk 800 g,"₦13,845"
Aptamil Profutura Milk Growing Up 800 g,"₦18,385"
Aptamil Profutura Follow On Milk 800 g,"₦18,385"
Aptamil 2 Follow On Milk Powder 800 g,"₦15,110"
SMA Advanced Follow-On-Milk 6 Months+ 800 g,"₦17,915"
Hipp Organic Growing Up Milk 1 Year+ 600 g,"₦9,630"
Aptamil Growing Up Milk Powder 1 Year+ 800 g,"₦15,110"
Aptamil 3 Growing Up Milk Ready To Drink 200 ml,"₦2,330"
SMA Pro Follow-On Milk 6 Months+ 800 g,"₦14,405"
SMA Pro Follow-On Milk 6 Months+ 200 ml,"₦2,330"
Cow & Gate 2 Follow On Milk Powder 800 g,"₦12,535"
SMA Little Steps Follow On Milk 6 Months+ 800 g,"₦11,830"
Cow & Gate 2 Follow On Milk Ready To Drink 200 ml,"₦2,285"
Cow & Gate 3 Growing Up Milk Powder 1 Year+ 800 g,"₦12,065"
Winiary Mayonnaise 400 ml,"₦3,970"
Kielecki Mayonnaise 310 ml,"₦3,360"
Tiptree Truffle Mayonnaise 165 g,"₦3,620"
Tesco Light Mayonnaise 450 ml,"₦3,350"
Hellmann's Vegan Mayonnaise 270 g,"₦3,830"
Tesco Creamed Horseradish 185 g,"₦1,935"
Al'fez Natural Tahini 160 g,"₦3,500"
Tiptree Mango Chutney 220 g,"₦3,780"
Tesco Tomato Chutney 300 g,"₦2,985"
Baxters Victorian Chutney 270 g,"₦3,270"
Tesco Mango Chutney 230 g,"₦2,610"
Geeta's Mango Chutney 320 g,"₦3,490"
Tiptree Tomato Sauce 310 g,"₦4,205"
Pudliszki Hot Tomato Ketchup 480 g,"₦3,925"
Tiptree Roasted Garlic Mayonnaise 165 g,"₦3,620"
Tesco Lighter Than Light Mayonnaise 450 ml,"₦3,350"
Hellmann's Real Squeezy Mayonnaise 750 ml,"₦6,450"
Hellmann's Real Squeezy Mayonnaise 430 ml,"₦4,015"
Hellmann's Light Squeezy Mayonnaise 750 ml,"₦6,450"
Hellmann's Light Squeezy Mayonnaise 250 ml,"₦2,705"
Heinz Seriously Good Mayonnaise 775 g,"₦7,035"
Heinz Seriously Good Mayonnaise 680 g,"₦5,655"
Heinz Mayonnaise Seriously Good 565 ml,"₦5,115"
Tesco Finest Horseradish Sauce 170 g,"₦2,520"
Tiptree Hot Gooseberry Chutney 230 g,"₦3,830"
Tesco Red Onion Chutney 295 g,"₦2,965"
Tesco Ploughmans Plum Chutney 295 g,"₦2,915"
Haywards Piccalilli 400 g,"₦4,250"
Branston Mediterranean Tomato Chutney 290 g,"₦3,360"
Baxters Caramelised Onion Chutney 290 g,"₦3,360"
Geeta's Premium Mango Sauce 230 g,"₦3,080"
Heinz Organic Tomato Ketchup 580 g,"₦6,075"
Colman's Mint Sauce 165 g,"₦2,310"
Prymat Sarepska Mustard 180 g,"₦2,005"
Prymat Mild Mustard 185 g,"₦2,025"
Tesco French Mustard 185 g,"₦1,935"
Tesco English Mustard 190 g,"₦2,005"
Tesco Dijon Mustard 185 g,"₦1,935"
Hellmann's Lighter Than Light Squeezy Mayonnaise 430 ml,"₦4,015"
Heinz Seriously Good Mayonnaise Light 815 g,"₦7,220"
Heinz Seriously Good Mayonnaise Light 420 g,"₦3,970"
Tesco Tartare Sauce 175 g,"₦1,885"
Tesco Seafood Sauce 500 ml,"₦4,345"
Tesco Seafood Sauce 250 ml,"₦2,705"
Tesco Redcurrant Jelly 340 g,"₦3,455"
Tesco Mint Sauce 185 g,"₦1,935"
Tesco Mint Jelly 340 g,"₦3,455"
Tesco Finest Aioli 165 g,"₦3,245"
Tesco Cranberry Sauce 200 g,"₦2,005"
Maille Hollandaise Sauce 200 g,"₦3,175"
Daddies Brown Sauce 400 g,"₦3,410"
Tesco Worcester Sauce 150 ml,"₦2,050"
Winiary Liquid Seasoning 210 g,"₦2,470"
Maggi Liquid Seasoning 101 ml,"₦2,010"
Heinz Garlic Sauce 225 g,"₦3,245"
Heinz Burger Sauce 220 ml,"₦3,220"
Kikkoman Soy Sauce 1 L,"₦11,740"
Yo! Sriracha Chilli Mayonnaise Sauce 250 ml,"₦3,925"
Yo! Japanese Creamy Mayonnaise Sauce 250 ml,"₦3,925"
Tiptree Caramelised Red Onion Chutney 220 g,"₦3,780"
Tesco Sweet Piccalilli 350 g,"₦3,200"
Sharwood's Plum Sauce 300 g,"₦4,485"
Tesco Sandwich Piccalilli 330 g,"₦3,110"
Tesco Mustard Piccalilli 350 g,"₦3,200"
Tesco Finest Red Onion Chutney 230 g,"₦3,080"
Ballymaloe Original Relish 210 g,"₦3,455"
Tesco Hot Salsa 300 g,"₦2,755"
Sharwood's Green Label Mango Chutney 530 g,"₦5,420"
Heinz Saucy Mayonnaise Ketchup Sauce 415 ml,"₦4,695"
Heinz Ketchup No Added Sugar & Salt 570 ml,"₦5,610"
Heinz Ketchup 50% Less Sugar 435 g,"₦4,320"
Doritos Salsa Dip Mild 300 g,"₦4,345"
Tesco Finest Hollandaise Sauce 165 g,"₦2,495"
Tesco Bramley Apple Sauce 270 g,"₦2,330"
Tesco Hot Salsa Dip 300 g,"₦2,755"
Maille Dijon Original Mustard 215 g,"₦3,010"
Grey Poupon Dijon Mustard 215 g,"₦2,915"
Tesco Finest Tartare Sauce 175 g,"₦2,825"
Tesco Bramley Apple Sauce 470 g,"₦3,875"
HP Fruity Sauce Top Down 470 g,"₦4,670"
Levi Roots Reggae Sauce 490 g,"₦5,280"
Heinz Sweet Chilli Sauce 220 ml,"₦3,220"
Heinz Sticky Barbecue Sauce 500 g,"₦4,810"
Heinz Korean BBQ Sauce 220 ml,"₦3,220"
Heinz Classic Barbecue Sauce 480 g,"₦4,720"
Heinz BBQ Sauce Classic 570 ml,"₦5,610"
Tesco Light Soy Sauce 150 ml,"₦1,910"
Tesco Finest Chilli Relish 295 g,"₦3,385"
Tesco Sour Cream Topping 280 g,"₦3,125"
Branston Red Onion Relish 335 g,"₦4,040"
Tesco Mild Salsa Dip 300 g,"₦2,755"
Gran Luchito Tomatillo Salsa 300 g,"₦4,485"
Heinz Top Down Squeezy Tomato Ketchup Sauce 910 g,"₦7,480"
Heinz Top Down Squeezy Tomato Ketchup Sauce 570 g,"₦5,140"
Heinz Top Down Squeezy Tomato Ketchup Sauce 460 g,"₦4,440"
Tesco Sour Cream & Chive Dip 300 g,"₦2,755"
Tesco Finest British Mint Sauce 180 g,"₦2,845"
Red's Kansas City BBQ Sauce 320 g,"₦3,970"
Red's Buffalo Hot Wings Sauce 290 g,"₦3,830"
Mahi Peri Peri Hot Sauce 165 g,"₦2,775"
Levi Roots Caribbean BBQ Sauce 290 g,"₦3,360"
HP BBQ Classic Woodsmoke Sauce 465 g,"₦4,650"
Encona Thai Sweet Chilli Sauce 285 ml,"₦3,805"
Encona Original Hot Pepper Sauce 285 ml,"₦3,805"
Blue Dragon Sweet Chilli Squeezy 500 g,"₦5,610"
Kikkoman Sushi & Sashimi Soy Sauce 250 ml,"₦4,205"
Kikkoman Less Salt Soy Sauce 500 ml,"₦9,400"
Encona Thai Sweet Chilli Sauce 220 ml,"₦3,080"
Encona Original Hot Pepper Sauce 220 ml,"₦3,080"
East End Mango Mint Sauce 260 g,"₦3,025"
Mrs H.S. Balls Original Recipe Chutney 470 g,"₦4,905"
Heinz Tomato Ketchup 50% Less Salt & Sugar 880 g,"₦7,340"
Tesco Whole Grain Mustard 180 g,"₦1,910"
Maille Whole Grain Mustard 210 g,"₦2,985"
Ocean Spray Whole Berry Cranberry Sauce 250 g,"₦3,125"
Sweet Baby Ray BBQ Sauce Honey 510 g,"₦5,795"
Sweet Baby Ray BBQ Sauce Original 510 g,"₦5,795"
Mahi Scorpion Pepper & Passion Hot Sauce 280 g,"₦3,780"
Mahi Bhut Jolokia Hot Pepper Sauce 165 g,"₦2,775"
Kuhne Made For Meat Chipotle Burger Sauce 235 ml,"₦3,385"
Kuhne Made For Meat Black Garlic Sauce 235 ml,"₦3,385"
Blue Dragon Sweet Chilli Sauce Light 350 g,"₦4,110"
Blue Dragon Sweet Chilli Dipping Sauce 380 g,"₦4,250"
Blue Dragon Hot Chilli Sriracha Sauce 435 ml,"₦5,165"
